state,registered_voters,voted,turnout_percent
Johor,2616575,1975004,75.48
Kedah,1575805,1223969,77.67
Kelantan,1404763,1006958,71.68
Melaka,657324,520923,79.25
Negeri Sembilan,850865,667735,78.48
Pahang,1136944,885608,77.89
Perak,2036872,1506442,73.96
Perlis,195927,150653,76.89
Pulau Pinang,1226626,956089,77.94
Sabah,1689387,1087825,64.39
Sarawak,1943074,1197450,61.63
Selangor,3677848,2962132,80.54
Terengganu,922856,748473,81.1
Wilayah Persekutuan Kuala Lumpur,1151407,862315,74.89
Wilayah Persekutuan Labuan,44484,28762,64.66
Wilayah Persekutuan Putrajaya,42881,36969,86.21
